tile_id,lon,lat,pm25,x,y,predicted_value,predicted_variance,z_val,tile_sampled,pm25_percentile,n_measurements,gamma_attacks,proportion_gamma_attacks,p_value,med_pm25_detrended_15,med_pm25,min_lat,max_lat,min_lon,max_lon
0,116.404,39.9131,38.786265,449061.0230674587,4418282.235301943,1.0412462849101038,4.889939762984471,0.4608610199905742,0,,0.0,,,0.6775508402395529,,,39.912949999999995,39.913250000000005,116.40385,116.40415
1,116.4043,39.9131,38.786265,449086.6636574504,4418282.06420613,1.0528326848564844,4.860378155534123,0.4675159043678003,0,,0.0,,,0.679934592038876,,,39.912949999999995,39.913250000000005,116.40415,116.40445
2,116.4046,39.9131,38.786265,449112.3042471902,4418281.893196468,1.0644722365722414,4.830310506930499,0.4742647493598198,0,,0.0,,,0.6823444372502687,,,39.912949999999995,39.913250000000005,116.40445,116.40469999999999
3,116.4048,39.9131,38.786265,449129.39797354536,4418281.779237889,1.072262451806172,4.8100301973931145,0.4788155293098832,0,,0.0,,,0.683965065987777,,,39.912949999999995,39.913250000000005,116.40469999999999,116.40495
4,116.4051,39.9131,38.786265,449155.0385628692,4418281.608371815,1.0839878746433251,4.779304861438168,0.4857156488349753,0,,0.0,,,0.6864156065285356,,,39.912949999999995,39.913250000000005,116.40495,116.40525
5,116.4054,39.9131,38.786265,449180.67915194354,4418281.437591891,1.0957387399743888,4.7482200647204085,0.4926956305744804,0,,0.0,,,0.6888861672665408,,,39.912949999999995,39.913250000000005,116.40525,116.40555
6,116.4057,39.9131,38.786265,449206.3197407708,4418281.26689812,1.107465104406189,4.716709919858325,0.4997380051548302,0,,0.0,,,0.6913702159324739,,,39.912949999999995,39.913250000000005,116.40555,116.4058
7,116.4059,39.9131,38.786265,449223.4134665165,4418281.153150133,1.1152303383420543,4.695405425379219,0.5044540416920663,0,,0.0,,,0.6930288249261864,,,39.912949999999995,39.913250000000005,116.4058,116.40605
8,116.4062,39.9131,38.786265,449249.0540549264,4418280.982599948,1.1267229825288538,4.662902132769821,0.5115313733279154,0,,0.0,,,0.6955104871122209,,,39.912949999999995,39.913250000000005,116.40605,116.40635
9,116.4065,39.9131,38.786265,449274.6946430874,4418280.8121359125,1.1379290017541788,4.629671793802733,0.5185719605315421,0,,0.0,,,0.6979703667371406,,,39.912949999999995,39.913250000000005,116.40635,116.40665
10,116.4068,39.9131,38.786265,449300.3352310018,4418280.64175803,1.1487333535400162,4.595755215911278,0.5255218490760615,0,,0.0,,,0.7003897656834361,,,39.912949999999995,39.913250000000005,116.40665,116.40690000000001
11,116.407,39.9131,38.786265,449317.4289561391,4418280.528220637,1.1556491857398783,4.5728676764155285,0.5300694206890489,0,,0.0,,,0.7019681000744677,,,39.912949999999995,39.913250000000005,116.40690000000001,116.40715
12,116.4073,39.9131,38.786265,449343.0695436368,4418280.357986339,1.1654937895192972,4.538471630796336,0.5366953465418469,0,,0.0,,,0.7042609645253882,,,39.912949999999995,39.913250000000005,116.40715,116.40745000000001
